,title,author,publication,date,duration,claps,tags_cleaned
1147,The cloud skills shortage and the unemployed army of the certified,james beswick,itnext,22-Jan-19,7,5500,"devops,cloud-computing,technology,jobs"
1148,A Conflict of Crypto Visions,arjun balaji,No Publication,29-Jan-19,23,2500,"blockchain,bitcoin,cryptocurrency"
1149,A Technique for Deciding When to Say No,tyler kleeberger,No Publication,31-Jan-19,9,21000,"entrepreneurship,life-lessons,lifestyle,productivity,culture"
1150,Synchronicity: How to Create Your Own Luck,zat rana,personal growth,1-Feb-19,8,14800,"philosophy,life,life-lessons,self-improvement,psychology"
1151,The Mystery of Color,ben hersh,modus,31-Jan-19,14,9300,"design,visual-design,art,colors"
1152,"Sometimes, I Miss War",benjamin sledge,human parts,1-Feb-19,7,9500,"war,military,veterans,life,life-lessons"
1153,AirPods Are Now One of Apple's Most Important Products,lance ulanoff,onezero,1-Feb-19,6,3600,"apple,airpods,wearables,product,the-upgrade"
1154,Lombok makes Java cool again,alex detrick,grubhub bytes,31-Jan-19,9,2200,"java,technology,grubhub,programming,programming-languages"
1155,"How to Do 1,000 Push-ups in a Single Day",kori d. miller,better humans,30-Jan-19,17,7900,"personal-development,self-improvement,health,positive-psychology,fitness"
1156,Minimally Sufficient Pandas,ted petrou,dunder data,31-Jan-19,28,6800,"data-science,machine-learning,python,pandas,data-analysis"
1157,Why You Should Embrace Your Impostor Syndrome,kristin wong,forge,29-Jan-19,6,12700,"impostor-syndrome,self,identity,careers,rethink"
1158,How Long Will We Live in 2069?,seth mnookin,onezero,28-Jan-19,15,3700,"health,science,future,2069"
1159,How I Adapted the Bullet Journal Method to Organize My Entire Life,jennifer taylor chan,"simple, not easy",12-Dec-18,9,18900,"productivity,self-improvement,personal-development,self,work"
1160,Why Visual Programming Doesn't Suck,anton livaja,statebox,30-Aug-18,8,1600,"programming,blockchain-startup,category-theory,functional-programming,blockchain"
1161,A novel approach to onboarding,david power,hiri,28-Jan-19,7,4900,"startup,onboarding,design,growth-hacking,ux"
1162,Introducing NG-VDOM: A new way to write Angular application,trotyl yu,angular,28-Jan-19,7,2100,"angular,jsx,virtual-dom,web-development,javascript"
1163,The Media Botched the Covington Catholic Story,the atlantic,the atlantic,24-Jan-19,14,6100,"media,politics,viral,culture"
1164,"Against Szabo's Law, For A New Crypto Legal System",vlad zamfir,crypto law review,26-Jan-19,18,4100,"blockchain,ethereum,smart-contracts,bitcoin,cryptocurrency"
1165,Confusion Is the Point,colin horgan,gen,24-Jan-19,5,6400,"social-media,politics,equality,psychology,activism"
1166,"As a Designer, I Refuse to Call People 'Users'",adam lefton,No Publication,15-Jan-19,6,16500,"ux,design,technology,visual-design,user-experience"
1167,"What we learned about 2019 developer hiring trends from analyzing 112,654 coding tests",tom winter,freecodecamp.org,24-Jan-19,8,5200,"javascript,coding,tech,careers,jobs"
1168,"How to Walk 100,000 Steps in One Day",david paul kirkpatrick,better humans,24-Jan-19,21,9800,"health,psychology,aging,wellness,self-improvement"
1169,What I Learned in My First Two Years as a Software Engineer,mitchell irvin,noteworthy - the journal blog,18-Jan-19,9,16800,"software-development,programming,software-engineering,self-improvement,coding"
1170,How NOT to design APIs,robert konarskis,noteworthy - the journal blog,2-Jan-19,10,6600,"api,rest-api,web-development,programming,software-development"
1171,Fake Stake” attacks on chain-based Proof-of-Stake cryptocurrencies,decentralized systems lab,No Publication,23-Jan-19,14,4000,"bitcoin,cryptocurrency,proof-of-stake,proof-of-work,vulnerability"
1172,"If You Only Read a Few Books in 2019, Read These",ryan holiday,No Publication,23-Jan-19,13,26000,"books,book-recommendations,self,reading,culture"
1173,The TypeScript Tax,eric elliott,javascript scene,23-Jan-19,22,20000,"javascript,typescript,technology,programming,software-engineering"
1174,Habit-Building Self-Awareness Exercises to Keep Yourself Accountable,niklas göke,better humans,21-Jan-19,10,5300,"self-improvement,life-lessons,self-awareness,mindfulness,productivity"
1175,Snagging Parking Spaces with Mask R-CNN and Python,adam geitgey,No Publication,22-Jan-19,13,8200,"machine-learning,deep-learning,object-detection,mask-r-cnn,python3"
1176,How Top-Performing College Grads Fall Into the 'Prestige Career' Trap,indra sofian,No Publication,22-Jan-19,9,26000,"careers,life-lessons,education,work,college"
1177,paypal-scripts now supports TypeScript as well as JavaScript,kent c. dodds,paypal engineering,21-Jan-19,9,3300,"javascript,typescript,react,framework,best-practices"
1178,The Youtube Redesign That Got Me Hired,pramiti r khan,muzli - design inspiration,13-Jan-19,13,7200,"ux,youtube,redesign,ux-research,design"
1179,"Pretend Your Time is Worth $1,000/Hour and You'll Become 100x More Productive",anthony moore,the startup,17-Jan-19,7,24000,"productivity,time-management,success,personal-development,personal-growth"
1180,I'm Depressed and I Want to Leave My Perfectly Good Husband',the cut,the cut,10-Jan-19,11,9500,"mental-health,self,relationships,advice,marriage"
1181,The Gillette Effect: What a Single Ad Reveals About American Men,jessica valenti,gen,19-Jan-19,3,17000,"masculinity,gillette,advertising,culture,jessica-valenti"
1182,"How to Die Well, According to a Palliative Care Doctor",mark starmach,forge,18-Jan-19,12,14700,"health,mental-health,healthcare,life,rethink"
1183,How to Be an Ethical Sugar Daddy,kristin wong,forge,15-Jan-19,4,5200,"relationships,advice,finance,money,joint-accounts"
1184,What It Means to Lose 25 Pounds When You Weigh 460,tommy tomlinson,elemental,17-Jan-19,5,5900,"weight-loss,health,book-excerpts,food,self"
1185,The Difference Between Knowledge and Wisdom (and Does IQ Matter?),zat rana,personal growth,18-Jan-19,9,11800,"philosophy,psychology,self-improvement,life,life-lessons"
1186,Why Gen Z Loves Closed Captioning,lance ulanoff,onezero,18-Jan-19,4,7000,"closed-captions,attention,tv,gen-z,the-upgrade"
1187,"I interviewed at six top companies in Silicon Valley in six days, and stumbled into six job offers",bay area belletrist,No Publication,3-Jan-19,11,12500,"ios,technology,silicon-valley,job-hunting,interview"
1188,Using the latest advancements in deep learning to predict stock price movements,boris b,towards data science,10-Jan-19,34,11700,"machine-learning,deep-learning,ai,stock-market,towards-data-science"
1189,I Feel Like a Bad Person for Not Wanting Kids,dan moore,No Publication,15-Jan-19,8,9700,"family,relationships,love,culture,philosophy"
1190,The Year in Ethereum,josh stark,No Publication,16-Jan-19,22,9000,"blockchain,ethereum,cryptocurrency"
1191,Nothing Can Stop Google. DuckDuckGo Is Trying Anyway.,drew millard,onezero,15-Jan-19,15,23000,"privacy,surveillance,duckduckgo,google,industry"
1192,The Endgame for LinkedIn Is Coming,lance ng,No Publication,14-Jan-19,9,12300,"microsoft,linkedin,social-network,social-media,mergers-and-acquisitions"
1193,"“Alexa, play some music” isn't the only time Amazon is listening to you.",jason t. voiovich,the startup,9-Jan-19,12,5600,"amazon,voice-assistant,speech-recognition,privacy,alexa"
1194,What It's Like to Be A Woman On the Internet,chloe condon,newco shift,14-Jan-19,11,7400,"social-media,women-in-tech,trolls,harassment,twitter"
1195,Gwyneth Paltrow: 'I'm a Real Person',the financial times,financial times,5-Jan-19,11,1000,"culture,business,wellness,lifestyle"
1196,How Airbnb is Moving 10x Faster at Scale with GraphQL and Apollo,adam neary,airbnb engineering & data science,5-Dec-18,12,5500,"graphql,javascript,web,frontend,front-end-development"
1197,Where Does Your Mind Go When Your Body Is Near Death?,eugene costello,human parts,11-Jan-19,8,7000,"death,subconscious,delirium,mind,hallucinations"
1198,Amazon Is Becoming More Powerful Than You Realize,karl bode,onezero,10-Jan-19,6,10500,"amazon,antitrust,monopoly,future,2069"
1199,Will Adobe XD kill Sketch and InVision?,shane p williams,ux collective,10-Jan-19,10,10600,"visual-design,ux,ui,prototyping,ts"
1200,"Steven Pinker on the Past, Present, and Future of Optimism",darryn king,onezero,10-Jan-19,12,4400,"steven-pinker,future,change,enlightenment,2069"
1201,The Poor Can't Afford Not to Wear Nice Clothes,tressie mcmillan cottom,zora,9-Jan-19,9,10200,"excerpt,money,inequality,identity,identity-self-care"
1202,How to Make Your iPhone Black and White (And Why You Should),megan holstein,better humans,10-Jan-19,9,8500,"technology,productivity,mindfulness,iphone,apple"
1203,The Next Level of Data Visualization in Python,will koehrsen,towards data science,9-Jan-19,8,14900,"data-science,data-visualization,python,education,towards-data-science"
1204,A Beginner's Guide to GraphQL,leonardo maldonado,freecodecamp.org,5-Jan-19,9,6100,"programming,javascript,software-engineering,technology,graphql"
1205,A step-by-step guide to building a simple chess AI,lauri hartikka,freecodecamp.org,31-Mar-17,5,7700,"programming,chess,artificial-intelligence,web-development,technology"
1206,When to use var vs let vs const in JavaScript,tyler mcginnis,freecodecamp.org,1-Jan-19,8,7500,"javascript,web-development,software-development,tech,programming"
1207,The React Handbook,flavio copes,freecodecamp.org,8-Jan-19,116,28000,"javascript,react,tech,programming,technology"
1208,Here are some super secret VS Code hacks to boost your productivity,dylan tientcheu,freecodecamp.org,9-Jan-19,8,16900,"tech,startup,programming,productivity,coding"
1209,9 Tricks for Kickass JavaScript Developers in 2019,lukas gisder-dubé,level up coding,7-Jan-19,8,14200,"javascript,programming,react,nodejs,coding"
1210,Warren Buffett: “Really Successful People Say No To Almost Everything”,michael simmons,accelerated intelligence,7-Jan-19,13,27000,"life-lessons,productivity,learning,startup,entrepreneurship"
1211,How to Seem Like You Always Have Your Sh*t Together,brianna wiest,No Publication,18-Dec-18,7,60000,"life-lessons,life,self-improvement,psychology,writing"
1212,Emulation Is Not a Product Strategy,jesse weaver,modus,14-Dec-18,6,13600,"design,product-management,ux,user-friendly,ideas"
1213,Why You're So Bad at Predicting the Future,kate morgan,onezero,3-Jan-19,7,49700,None
1214,What Does It Mean to be Spiritual? A Rational Answer.,zat rana,personal growth,6-Jan-19,7,8600,"philosophy,self-improvement,life,life-lessons,spirituality"
1215,(Why) Elizabeth Warren's Plan to Save America is Awesome,umair haque,eudaimonia and co,4-Jan-19,9,14600,"politics,new,life,leadership,culture"
1216,The Illusion of Control in 'Black Mirror: Bandersnatch',howard chai,No Publication,1-Jan-19,8,2600,"technology,videogames,philosophy,television,culture"
1217,A Top Roboticist Says A.I. Will Not Conquer Humanity,brian bergstein,onezero,4-Jan-19,9,5600,"rodney-brooks,ai,future,2069,technology"
1218,Getting the Easy Stuff Right,scott galloway,No Publication,4-Jan-19,5,7400,"life-lessons,advice,education,family,parenting"
1219,The Completely Audacious Guide to Breaking the Ice,michael thompson,better humans,5-Jan-19,13,7400,"life,relationships,business,leadership,entrepreneurship"
1220,Open Source Business Models Considered Harmful,john mark,noteworthy - the journal blog,4-Jan-19,11,1600,"open-source,business-strategy,business-models,innovation,product-management"
1221,IQ is largely a pseudoscientific swindle,nassim nicholas taleb,incerto,2-Jan-19,13,19100,"psychology,data-science,black-swan,racism,alt-right"
1222,The Technology That Will Define 2019,lance ulanoff,onezero,4-Jan-19,6,11000,",predictions,tech,the-upgrade,future"
1223,Apple's Precarious and Pivotal 2019,m.g. siegler,500ish,3-Jan-19,9,3500,"apple,tech,iphone,apple-prime,business"
1224,"Finally, Fusion Power Is About to Become a Reality",brian bergstein,onezero,3-Jan-19,14,14800,"fusion-power,energy,future,science-and-medicine,2069"
1225,The Fan Who Sued Taylor Swift,zachary snowdon smith,No Publication,23-Oct-18,13,2100,"psychology,law,taylor-swift,crime,justice"
1226,How to Plan Your Ideal Year,michael karnjanaprakorn,personal growth,20-Dec-17,8,9400,"productivity,time-management,goals,habit-building"
1227,How to Eat According to Your Carb Tolerance,john fawkes,better humans,29-Dec-18,13,5100,"health,self-improvement,diet,productivity,lifestyle"
1228,The Biggest Technology Failures of 2018,mit technology review,mit technology review,28-Dec-18,6,3300,"technology,google,business,facebook,startup"
1229,Crypto Theses for 2019,arjun balaji,No Publication,2-Jan-19,31,13000,"blockchain,bitcoin,cryptocurrency,crypto,ethereum"
1230,The 60 Dumbest Moments in Tech 2018,fast company,fast company,27-Dec-18,13,2100,"business,technology,facebook,google,social-media"
1231,"Fifteen dead cryptocurrency predictions, twelve months on",nic carter,No Publication,1-Jan-19,22,3600,"blockchain,cryptocurrency,bitcoin"
1232,Knowledge as an Action,more to that,human parts,2-May-18,19,10800,"life-lessons,philosophy,wisdom,mindfulness,more-to-that"
1233,Rethinking how we interview in Microsoft's Developer Division,john montgomery,noteworthy - the journal blog,15-Dec-18,8,4200,"interview,inclusion,hiring,interviewing"
1234,Google just terminated our start-up Google Play Publisher Account on Christmas day,pablo a. martínez,androidpub,30-Dec-18,13,18500,"android,google-play,android-app-development,apps,entrepreneurship"
1235,Bayes' Theorem: The Holy Grail of Data Science,artem oppermann,towards data science,22-Dec-18,8,5300,"data-science,machine-learning,artificial-intelligence,towards-data-science,mathematics"
1236,Dart vs Swift: a comparison,andrea bizzotto,code with andrea,27-Dec-18,23,3600,"swift,dart,flutter,ios,android"
1237,We Need to Start Seeing Powerful Men for What They Are,john devore,humungus,22-Dec-18,6,8800,"film,women,equality,feminism,rape-culture"
1238,Mental Models I Find Repeatedly Useful,gabriel weinberg,No Publication,6-Jul-16,37,30000,"mental-models,startup,business,investing,decision-making"
1239,Knowledge Is Not a Thing,more to that,human parts,29-Aug-18,19,6800,"life-lessons,knowledge,philosophy,mindfulness,more-to-that"
1240,Lenses,eric elliott,javascript scene,24-Dec-18,7,2600,"javascript,programming,technology,software-engineering,functional-programming"
1241,F*ckedbook,m.g. siegler,500ish,23-Dec-18,6,3000,"social-media,tech,facebook,media,social-network"
1242,How Google Marketers Exploit Your Discomfort,patrick berlinquette,No Publication,14-Dec-18,7,9800,"technology,privacy,google,marketing,tech"
1243,How to Develop Better Habits in 2019,ryan holiday,No Publication,21-Dec-18,10,43000,"productivity,self,improvement,goals,lifestyle"
1244,How Hitler Nearly Destroyed the Great American Novel,ryan holiday,gen,22-Dec-18,29,49500,"history,hitler,publishing,john-fante,books"
1245,41 Things You Should Say “No” to for a Happier 2020,danny forest,the startup,21-Dec-18,6,24000,"productivity,self-improvement,life-lessons,personal-development,inspiration"
1246,How a Phone Glitch Sparked a Teenage Riot,shaun raviv,gen,20-Dec-18,16,5100,"history,culture,communication,society,love-hate"
1247,Consider Yourself a Developer? You Should Solve the Project Euler Problems,bennett garner,noteworthy - the journal blog,11-Dec-18,6,12500,"programming,software-development,coding,algorithms,technology"
1248,The Most In-Demand JavaScript Frameworks for Developers in 2019,nwose lotanna,bits and pieces,17-Dec-18,9,5200,"javascript,programming,web-development,software-development,coding"
1249,"How to Master Communication in Open, Polyamorous and Other Relationships",sílvia bastos,better humans,19-Dec-18,32,1800,"relationships,polyamory,communication,monogamy,advice"
1250,Der Spiegel journalist messed with the wrong small town,michele anderson,No Publication,20-Dec-18,16,13600,travel
1251,Using Google Maps costs more than you think.,jason t. voiovich,the startup,17-Dec-18,13,10100,"google,mobile,psychology,consumerism,value-proposition"
1252,The Truth About Aging in the Tech Industry,angela delillio galper,No Publication,28-Nov-18,6,11300,"technology,equality,women,work"
1253,WebAssembly Is Fast: A Real-World Benchmark of WebAssembly vs. ES6,aaron turner,No Publication,19-Dec-18,16,3100,"webassembly,javascript,web,emulator,pwa"
1254,How to Write Perfect Python Command-line Interfaces,yannick wolff,sicara's blog,18-Dec-18,3,3500,"python,command-line,interfaces,machine-learning,productivity"
1255,Signs It Isn't Love,kris gage,No Publication,18-Dec-18,4,10800,"love,relationships,dating"
1256,Why you should care about the Nate Silver vs. Nassim Taleb Twitter war,isaac faber,towards data science,17-Dec-18,10,14200,"statistics,data-science,fivethirtyeight,towards-data-science,r"
1257,Why I no longer use D3.js,paul sweeney,No Publication,16-Dec-18,9,7000,"javascript,react,d3js,data-visualization,web-development"
1258,Young Women on Dating and Feminism in America,jen doll,gen,14-Dec-18,13,3400,"feminism,dating,relationships,love-hate,culture"
1259,7 Psychological Superpowers Few People Have (That You Can Use to Set Yourself Apart),ayodeji awosika,publishous,12-Dec-18,9,50000,"life-lessons,inspiration,self-improvement,personal-development,psychology"
1260,Why 'F*ck' Is the Word of the Year,meghan daum,words that matter,11-Dec-18,4,5000,"words-that-matter,2018,language,culture,fuck"
1261,Why 'Moments' Is the Word of the Year,amy o'rourke,words that matter,14-Dec-18,5,6500,"texas,moments,words-that-matter,2018,politics"
1262,Why I Buried My Siblings Alive,erika sauter,human parts,28-Nov-18,5,13700,"family,life,relationships,abuse,heart"
1263,Remember the $86 million license plate scanner I replicated?,tait brown,a cloud guru,24-Oct-17,11,21000,"tech,javascript,machine-learning,startup,politics"
1264,How I replicated an $86 million project in 57 lines of code,tait brown,a cloud guru,29-Aug-17,5,78000,"open-source,javascript,hackathons,cloud-computing,tech"
1265,What Google's CEO Couldn't Explain to Congress,alexis c. madrigal,the atlantic,13-Dec-18,6,4600,"google,business,politics,privacy,cybersecurity"
1266,How Google Tracks Your Personal Information,patrick berlinquette,noteworthy - the journal blog,4-Dec-18,6,24000,"google,marketing,technology,privacy"
1267,How I Fell in Love With Peloton,megan murphy,human parts,6-Dec-18,7,2300,"fitness,peloton,cycling,self,health"
1268,The Dirty Secret of Elite College Admissions,bryan walsh,gen,12-Dec-18,15,5700,"education,princeton,harvard,legacy,college-admissions"
1269,The Complicated Truth About C-sections,emily oster,elemental,10-Dec-18,10,2100,"pregnancy,c-section,birth,health,body"
1270,Confessions of a Juul Junkie,ahmed kabil,gen,4-Dec-18,10,3400,"vaping,juul,addiction,nicotine,love-hate"
1271,Modernizing the Web Playback UI,netflix technology blog,netflix techblog,12-Dec-18,11,2600,"javascript,react,netflix,redux,ab-testing"
1272,2019 UI and UX Design Trends,moses kim,ux planet,11-Dec-18,15,28000,"design,tech,ui,ux,trends"
1273,A Recap of Frontend Development in 2018,trey huffine,level up coding,11-Dec-18,13,11400,"javascript,web-development,programming,react,technology"
1274,How Netflix works: the (hugely simplified) complex stuff that happens every time you hit Play,mayukh nair,refraction: tech + everything,17-Oct-17,11,87000,"tech,netflix,movies,internet,tv"
1275,Modality Is the One UX Concept That Most Designers Don't Fully Understand,fabian sebastian,ux planet,10-Dec-18,10,10900,"ux,modality,information-architecture,ios,android"
1276,"Dear Men, Feminism Needs You",jessica valenti,gen,30-Nov-18,3,8700,"feminism,men,equality,jessica-valenti,power"
1277,Why most redesigns fail,girish rawat,freecodecamp.org,4-Dec-18,9,14000,"design,redesign,tech,ux,ui"
1278,The cold start problem: how to build your machine learning portfolio,edouard harris,towards data science,3-Dec-18,6,7300,"machine-learning,data-science,data-scientist,hiring-tips,towards-data-science"
1279,Our learnings from adopting GraphQL,netflix technology blog,netflix techblog,10-Dec-18,9,9200,"graphql,javascript,front-end-development,software-engineering"
1280,Why 'Truth' Is James Comey's Word of the Year,james comey,words that matter,10-Dec-18,3,13700,"politics,truth,words-that-matter,2018,james-comey"
1281,A New Hope,eric elliott,javascript scene,10-Dec-18,8,3000,"blockchain,javascript,technology,crypto,future"
1282,The Fate of Self-Driving Cars Hangs on a $7 Trillion Design Problem,fast company,fast company,6-Dec-18,14,3800,"self-driving-cars,design,business,technology,transportation"
1283,Bitcoin & Ethereum: Prices are Down More than the Fundamentals,chris burniske,No Publication,10-Dec-18,6,6000,"blockchain,bitcoin,ethereum,cryptoasset,cryptocurrency"
1284,How the world's most successful founders approach failure,aytekin tank,the startup,9-Dec-18,7,6000,"life,productivity,inspiration,writing,culture"
1285,The Blockchain Is a Reminder of the Internet's Failure,andrew leonard,onezero,6-Dec-18,7,9200,"blockchain,technology,internet,idealism,industry"
1286,The “Woke” Men Who Still Want Housewives,jessica valenti,gen,7-Dec-18,3,17800,"feminism,men,housewives,jessica-valenti,power"
1287,When Self-Help Just Makes Your Life Worse,magdalena puniewska,forge,5-Dec-18,6,14200,"self-improvement,productivity,mental-health,self,live"
1288,How I went from stuck and hopeless to making my tech career dreams come true,colin smith,freecodecamp.org,30-Nov-18,24,5000,"tech,life-lessons,interview,computer-science,careers"
1289,Little known features of JavaScript,viral shah,noteworthy - the journal blog,26-Nov-18,10,15800,"javascript,programming,es6,javascript-tips,coding"
1290,The State of Web Browsers,ferdy christant,ferdy christant,6-Dec-18,22,5800,web-development
1291,The Coming Software Apocalypse,the atlantic,the atlantic,27-Sep-17,37,40000,"programming,software-development,engineering,tech,technology"
1292,The Void and I: A Story About Everything,zat rana,personal growth,4-Dec-18,33,9500,"philosophy,life,life-lessons,self-improvement,psychology"
1293,The Psychological Toll of Becoming an Instagram Influencer,jenni gritters,elemental,3-Dec-18,7,6600,"social-media,mental-health,influencers,life,love-hate"
1294,How to Lose Weight and Eat the Foods You Love by Tracking Macronutrients,serdar tuncali,better humans,30-Nov-18,21,2600,"weight-loss,diet,health,self-improvement,eating"
1295,On Hating 'Love Actually',stephen marche,gen,3-Dec-18,15,4600,"love-actually,hate,film,politics,brexit"
1296,The Decline and Fall of the Zuckerberg Empire,new york magazine,new york magazine,21-Nov-18,6,3900,"facebook,business,technology,mark-zuckerberg"
1297,"Vital UX skills that few designers have, and how to develop them",jeremy bird,ux collective,26-Nov-18,17,9200,None
1298,Why Playfulness Is the Key to Success in the 21st-Century,zat rana,personal growth,28-Nov-18,6,8300,"life,life-lessons,self-improvement,creativity,culture"
1299,What I Leave Out When I Tell You I Have ADHD,rachel inberg,No Publication,14-Nov-18,6,7100,"depression,mental-health,adhd,psychology,drugs"
1300,The Total Incompatibility of Mindfulness and Busyness,jon kabat-zinn,forge,28-Nov-18,5,5400,"mindfulness,busyness,meditation,self,schedule"
1301,What I've learned six months into my first job as a self-taught software engineer,austin tackaberry,freecodecamp.org,29-Nov-18,10,99900,"programming,tech,software-development,web-development,life-lessons"
1302,The Foobar challenge: Google's hidden test for developers,daniel simmons,freecodecamp.org,27-Nov-18,6,5400,"google,recruiting,coding,tech,programming"
1303,Nike and Boeing Are Paying Sci-Fi Writers to Predict Their Futures,brian merchant,onezero,28-Nov-18,17,5400,"science-fiction,future,industry,the-new-new,nike"
1304,Google Employees: Our Executives Engaged in Abuse. Don't Let Kink and Polyamory Be Their Scapegoats.,liz fong-jones,No Publication,28-Nov-18,7,4400,"google,stigma,abuse,bdsm,polyamory"
1305,Six Years With a Distraction-Free iPhone,jake knapp,make time,27-Nov-18,11,46000,"technology,productivity,self,iphone"
1306,"To Calm Down, Try 'Calming Up' Instead",ashley abramson,forge,21-Nov-18,4,4800,"stress,productivity,psychology,rethink"
1307,The Baseline Costs of JavaScript Frameworks,ankur sethi,No Publication,27-Nov-18,5,1990,"javascript,performance,react,india,development"
1308,How I Bootstrapped My Side Project to $6k/Month While Hating Everything It Stands For,othmane e.,noteworthy - the journal blog,4-Nov-17,14,9600,"entrepreneurship,product,tech,bootstrap,lifestyle"
1309,I Left My Cushy Job to Study Depression. Here's What I Learned.,elitsa dermendzhiyska,No Publication,11-Oct-18,8,23000,"mental-health,culture,life,self-improvement,health"
1310,I just got a developer job at Facebook. Here's how I prepped for my interviews.,andyy hope,No Publication,10-Nov-17,9,33000,"tech,careers,self-improvement,programming,startup"
1311,What I Learned From A Month Without Alcohol,michael r. mcbride,the startup,15-Nov-18,9,12000,"alcohol,mental-health,life,self-improvement,creativity"
1312,The resolution of the Bitcoin Cash experiment,_unwriter,No Publication,27-Nov-18,20,6200,"blockchain,bitcoin,bitcoincash,cryptocurrency"
1313,"5 Lessons Learned From Writing Over 300,000 Lines of Infrastructure Code",yevgeniy brikman,gruntwork,22-Nov-18,7,6900,"devops,infrastructure-as-code,aws,software-engineering,gruntwork-talks"
1314,The Greatest Sales Deck I've Ever Seen,andy raskin,mission.org,15-Sep-16,8,93000,"startup,entrepreneurship,sales,marketing,pitching"
1315,"Facebook Isn't a Community, It's a Company Town",mike monteiro,No Publication,26-Nov-18,8,3300,"san-francisco,facebook,zuckerberg,ethics,community"
1316,The Purpose of Life Is Right In Front of You,zat rana,personal growth,24-Nov-18,8,23000,"self-improvement,life,life-lessons,culture,philosophy"
1317,Amazon's Merciless Assault on Brands,andrew essex,onezero,20-Nov-18,5,6400,"startup,amazon,ai,technology,the-new-new"
1318,Death Is the Roommate of Life,more to that,human parts,20-Jun-18,13,10400,"life-lessons,self-improvement,death,mindfulness,more-to-that"
1319,"So, You're a White Man Who Wants to Date a Black Woman…",andrea coleman,lady-saurus comedy,6-Mar-18,7,13800,"humor,love,relationships,life-lessons,culture"
1320,"Flutter: the good, the bad and the ugly",marco bellinaso,the asos tech blog,23-Nov-18,15,11100,"flutter,ios-app-development,android-app-development,mobile-app-development,apps"
1321,How to Get More Work Done in a Week Than Most People Do in a Month,thomas oppong,personal growth,19-Nov-18,6,21000,"productivity,work,creativity,self-improvement,personal-development"
1322,Why CBD Oil Is My Sleep Aid of Choice,hayley macmillen,elemental,19-Nov-18,6,49100,"sleep,cbd,cbd-oils,wellness,trends"
1323,Why We Are Feeling Lonelier Than Ever,zat rana,personal growth,18-Nov-18,7,15100,"philosophy,culture,self-improvement,life,life-lessons"
1324,The Greatest Lesson From History You Probably Never Learned,umair haque,eudaimonia and co,18-Nov-18,11,5800,"politics,news,economics,life,leadership"
1325,"Bad Sex, Consent, and Other Reasons Behind the 'Sex Recession'",jessica valenti,gen,16-Nov-18,3,9400,"sex,consent,feminism,jessica-valenti,power"
1326,Surprising Advice From a Wealthy Man,john p. weiss,personal growth,17-Nov-18,11,43000,"life,life-lessons,inspiration,happiness,success"
1327,Handling Errors in JavaScript: The Definitive Guide,lukas gisder-dubé,level up coding,14-Nov-18,12,7100,"javascript,programming,react,nodejs,web-development"
1328,"If You're Online, You're Getting Scammed",adam k. raymond,onezero,14-Nov-18,9,8200,"scam,technology,phishing,cybersecurity,the-new-new"
1329,"Why React Hooks, and how did we even get here?",ryan yurkanin,freecodecamp.org,13-Nov-18,6,5300,"react,javascript,web-development,software-development,technology"
1330,Dangerous Design trends 2017,eleana gkogka,muzli - design inspiration,7-Aug-17,7,21000,"design,inspiration,creativity,ux,web-design"
1331,The Millennial Obsession With Starting Over,rainesford stauffer,forge,14-Nov-18,7,15800,"millennials,moving,identity,live,the-new-new"
1332,JavaScript: What the heck is a Callback?,brandon morelli,codeburst,12-Jun-17,5,33000,"javascript,web-development,tech,nodejs,technology"
1333,How to Get Over Burnout When You Can't Take Time Off,rebecca fishbein,forge,7-Nov-18,6,4700,"burnout,wellness,mental-health,stress,advice"
1334,These are the concepts you should know in React.js (after you learn the basics),chris chuck,freecodecamp.org,12-Nov-18,9,13700,"javascript,programming,web-development,react,tech"
1335,8 Timeless Skills to Learn Now in Under 8 Hours to Change your Life Forever,danny forest,skillup ed,6-Nov-18,17,37000,"top-writers,education,inspiration,self-improvement,life-lessons,entrepreneurship"
1336,What I learned about procrastination while scaling my startup to 4.2 million users,aytekin tank,the startup,5-Nov-18,8,32000,"startup,entrepreneurship,self-improvement,psychology,creativity"
1337,How the Eco-Food Movement Mass-Markets Eating Disorders,virginia sole-smith,elemental,12-Nov-18,10,3100,"health,food,eating-disorders,organic"
1338,Understanding Asynchronous JavaScript,sukhjinder arora,bits and pieces,13-Nov-18,9,22000,"javascript,programming,web-development,software-development,coding"
1339,"If San Francisco Is So Great, Why Is Everyone I Love Leaving?",diana helmuth,No Publication,6-Nov-18,13,9000,"san-francisco,rent-control,friendship,startup-life,bay-area-housing"
1340,What MDMA Therapy Did For Me,tucker max,No Publication,13-Nov-18,31,10400,"mental-health,mdma,therapy"
1341,Dear Jeff,dhh,signal v. noise,14-Nov-18,3,7700,"greatest-hits?source=post_page-----a6319829f92a----------------------,amazon,jeff-bezos,hq2"
1342,Why Are Young People Having So Little Sex?,the atlantic,the atlantic,14-Nov-18,50,14200,"sex,sexuality,culture,health"
1343,My App Is Dead in the Water,matt stanford,the startup,13-Nov-18,5,1940,"ios,app-store,hacker-news"
1344,Curry and Function Composition,eric elliott,javascript scene,13-Nov-18,11,6900,"functional-programming,programming,technology,javascript,software-engineering"
1345,10 things to learn on the way to becoming a JavaScript Master,lukas gisder-dubé,level up coding,7-Nov-18,7,8600,"javascript,programming,coding,development,web-development"
